Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/input_Report Name_textbox""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.025s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Active""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.034s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Active""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.028s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Active""), ""Active"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.028s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/span_Active dropdown""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.018s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/span_Active dropdown""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.026s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Run Status""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.016s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Run Status""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.027s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Run Status""), ""Run Status"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.040s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/span_Run Status dropdown""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.019s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/span_Run Status dropdown""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.026s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/button_Filter""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.028s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/button_Filter""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.026s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/button_Filter""), ""Filter"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.040s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/a_Columns tab""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.017s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/a_Columns tab""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.036s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/a_Columns tab""), ""Columns"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.027s,PASSED
"click(findTestObject(""UI/Employee/Report Manager/Schedule Reports/a_Columns tab""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.109s,PASSED
"waitForElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Actions""), 5, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:12,0.032s,PASSED
"waitForElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Actions""), 5)",Chrome 71.0.3578.98,,2019-01-22 21:37:12,2019-01-22 21:37:13,0.554s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Actions""), ""Actions"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.073s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Client""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.032s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Client""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.036s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Client""), ""Client"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.039s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Client Name""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.019s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Client Name""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.025s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Client Name""), ""Client Name"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.028s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Group Name""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.021s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Group Name""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.024s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Group Name""), ""Group Name"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.037s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Report Name""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.020s,PASSED
